feature,lower_bound,upper_bound,outlier_count
temperature,-2.737499999999999,46.162499999999994,0
feels_like,-11.200000000000003,56.0,0
humidity,-2.5,121.5,0
pressure,932.25,967.8499999999999,0
wind_speed,-3.3999999999999995,15.799999999999999,315
clouds,-105.0,175.0,0
aqi,11.5,215.5,0
co,-772.5,2519.5,760
no2,-54.800000000000004,128.4,123
o3,-118.0,266.0,0
so2,-6.299999999999999,28.099999999999998,829
pm2_5,-15.550000000000008,86.45000000000002,711
pm10,-20.699999999999996,114.5,665
